,id,date,duration,views,likes,category_id,update_diff
0,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1028117,17495,24,206
0,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,444882,10300,24,38
0,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1058641,17786,24,230
0,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,504356,11231,24,62
0,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1079841,17997,24,254
0,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,549161,11779,24,86
0,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1104594,18244,24,278
0,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,604800,12328,24,110
0,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1133712,18499,24,302
0,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,646261,12732,24,134
0,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1149957,18656,24,326
0,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,670792,12996,24,158
0,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1164205,18828,24,350
0,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,689336,13230,24,182
0,lGx4jgWgRu4,2023-05-09T09:37:10Z,1218,1181243,19035,24,374
0,3xoVnO1CW5w,2023-05-16T09:37:11Z,833,709336,13454,24,206
